amount_tsh,gps_height,population,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,dry,shallow well,hand pump,non functional
100.0,385.0,1.0,1974.0,submersible,user-group,unknown,good,insufficient,borehole,communal standpipe,functional
100.0,350.0,1.0,1972.0,gravity,user-group,never pay,unknown,dry,borehole,communal standpipe,non functional
50.0,12.0,150.0,2000.0,submersible,commercial,per bucket,good,enough,borehole,communal standpipe,functional
2000.0,1603.0,40.0,2010.0,rope pump,user-group,on failure,good,enough,borehole,hand pump,functional
100.0,1.0,200.0,1987.0,other,user-group,unknown,salty,enough,borehole,other,non functional
100.0,825.0,50.0,1970.0,motorpump,user-group,never pay,salty,dry,borehole,other,non functional
100.0,1481.0,400.0,1996.0,handpump,user-group,unknown,good,enough,shallow well,hand pump,non functional
400.0,531.0,1.0,2009.0,handpump,user-group,monthly,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,other,user-group,unknown,good,enough,shallow well,other,functional needs repair
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,enough,shallow well,hand pump,functional
100.0,101.0,1.0,2010.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
1000.0,1562.0,250.0,2009.0,handpump,user-group,on failure,good,enough,borehole,hand pump,functional
100.0,1481.0,450.0,1986.0,other,user-group,never pay,good,enough,borehole,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,enough,borehole,hand pump,functional
100.0,1231.0,2500.0,2009.0,motorpump,user-group,unknown,good,enough,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,submersible,commercial,never pay,salty,enough,borehole,other,functional
100.0,1076.0,1050.0,2010.0,other,user-group,unknown,good,enough,shallow well,other,non functional
500.0,253.0,450.0,1997.0,handpump,user-group,monthly,good,insufficient,shallow well,hand pump,functional
300.0,665.0,632.0,1997.0,other,user-group,monthly,salty,insufficient,shallow well,other,non functional
100.0,961.0,245.0,2012.0,handpump,user-group,never pay,fluoride,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,other,user-group,unknown,good,enough,shallow well,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,seasonal,shallow well,hand pump,functional
100.0,825.0,32.0,2000.0,submersible,user-group,never pay,good,enough,borehole,communal standpipe,functional
100.0,1485.0,59.0,1986.0,handpump,user-group,never pay,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,enough,shallow well,hand pump,functional
100.0,1823.0,1.0,2009.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,per bucket,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,1660.0,1.0,2010.0,submersible,user-group,unknown,unknown,unknown,borehole,communal standpipe,non functional
100.0,1705.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
1000.0,1712.0,230.0,2000.0,handpump,user-group,annually,good,enough,shallow well,hand pump,functional
50.0,232.0,150.0,2011.0,motorpump,user-group,per bucket,good,enough,borehole,communal standpipe,functional
100.0,1539.0,1.0,1990.0,other,user-group,unknown,unknown,dry,shallow well,other,non functional
500.0,1768.0,40.0,2010.0,rope pump,user-group,monthly,good,enough,borehole,hand pump,functional
500.0,1593.0,40.0,2009.0,handpump,user-group,on failure,good,enough,borehole,hand pump,functional
100.0,1232.0,100.0,1985.0,other,commercial,never pay,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,enough,shallow well,hand pump,functional needs repair
100.0,966.0,700.0,1996.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,1481.0,111.0,2005.0,handpump,unknown,unknown,unknown,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
20.0,825.0,120.0,1999.0,handpump,user-group,per bucket,good,insufficient,shallow well,hand pump,functional
100.0,1641.0,1.0,2000.0,submersible,user-group,unknown,unknown,dry,borehole,communal standpipe,functional needs repair
100.0,825.0,230.0,2000.0,other,user-group,on failure,good,seasonal,shallow well,other,non functional
100.0,102.0,100.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,non functional
50.0,1261.0,250.0,2006.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,other,user-group,per bucket,good,insufficient,shallow well,other,non functional
100.0,825.0,230.0,2000.0,motorpump,commercial,per bucket,good,dry,borehole,communal standpipe,non functional
100.0,825.0,200.0,2009.0,handpump,user-group,unknown,good,seasonal,shallow well,hand pump,non functional
100.0,825.0,500.0,2007.0,handpump,user-group,never pay,good,dry,shallow well,hand pump,non functional
100.0,357.0,1700.0,1975.0,motorpump,user-group,per bucket,salty,enough,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional needs repair
100.0,825.0,230.0,2000.0,other,user-group,unknown,milky,dry,shallow well,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,unknown,dry,borehole,hand pump,non functional
100.0,64.0,800.0,1986.0,other,user-group,unknown,good,enough,shallow well,other,non functional
100.0,1536.0,1.0,1987.0,other,user-group,unknown,unknown,unknown,borehole,other,non functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,good,insufficient,shallow well,other,non functional
100.0,844.0,250.0,1974.0,motorpump,user-group,never pay,good,enough,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,motorpump,user-group,per bucket,good,dry,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,good,seasonal,shallow well,other,non functional
100.0,625.0,87.0,2011.0,wind-powered,commercial,never pay,good,enough,borehole,communal standpipe,functional
100.0,338.0,2530.0,1974.0,motorpump,user-group,per bucket,salty,enough,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,good,dry,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,salty,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,enough,shallow well,hand pump,functional
500.0,1822.0,230.0,1991.0,handpump,user-group,monthly,good,seasonal,borehole,hand pump,functional
100.0,1349.0,500.0,2008.0,handpump,user-group,unknown,good,enough,borehole,hand pump,non functional
100.0,1542.0,230.0,1998.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,motorpump,user-group,per bucket,good,insufficient,borehole,communal standpipe,functional
100.0,201.0,1.0,1982.0,submersible,user-group,never pay,good,dry,borehole,communal standpipe,non functional
100.0,1220.0,300.0,1999.0,other,user-group,never pay,good,insufficient,shallow well,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,insufficient,shallow well,hand pump,non functional
100.0,334.0,36.0,1978.0,handpump,user-group,never pay,salty,dry,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,dry,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,submersible,user-group,never pay,salty,enough,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,borehole,hand pump,functional
100.0,825.0,50.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,good,enough,shallow well,other,non functional
100.0,290.0,500.0,1997.0,handpump,commercial,never pay,good,dry,borehole,hand pump,non functional
100.0,1230.0,350.0,1990.0,handpump,user-group,unknown,good,enough,borehole,hand pump,non functional
100.0,1632.0,200.0,1984.0,handpump,user-group,never pay,good,insufficient,borehole,hand pump,functional
100.0,825.0,500.0,1971.0,other,user-group,unknown,salty,enough,shallow well,other,non functional
100.0,825.0,270.0,2000.0,handpump,user-group,never pay,salty,insufficient,shallow well,hand pump,functional needs repair
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,enough,shallow well,hand pump,functional needs repair
100.0,825.0,230.0,2000.0,submersible,user-group,never pay,good,insufficient,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,motorpump,user-group,per bucket,good,dry,borehole,communal standpipe,non functional
100.0,330.0,350.0,1978.0,motorpump,user-group,unknown,salty,dry,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,seasonal,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,insufficient,shallow well,hand pump,functional
5000.0,572.0,1.0,1998.0,handpump,user-group,annually,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,motorpump,user-group,never pay,good,insufficient,borehole,communal standpipe,non functional
200.0,293.0,300.0,1984.0,handpump,user-group,monthly,good,insufficient,shallow well,hand pump,functional
100.0,1666.0,240.0,2008.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
500.0,161.0,160.0,2002.0,handpump,user-group,monthly,salty,enough,shallow well,hand pump,functional
50.0,226.0,450.0,2012.0,motorpump,user-group,per bucket,good,enough,borehole,communal standpipe,functional
30.0,917.0,200.0,2000.0,submersible,commercial,per bucket,good,enough,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,enough,borehole,hand pump,functional needs repair
100.0,1549.0,1.0,2010.0,motorpump,unknown,unknown,unknown,unknown,borehole,communal standpipe,functional needs repair
100.0,1177.0,1.0,2008.0,other,user-group,never pay,good,seasonal,borehole,other,non functional
100.0,825.0,230.0,2000.0,submersible,user-group,per bucket,salty,insufficient,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,256.0,120.0,2004.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,submersible,user-group,never pay,good,insufficient,borehole,communal standpipe,functional
500.0,317.0,500.0,2008.0,handpump,user-group,monthly,good,insufficient,shallow well,hand pump,functional
100.0,901.0,300.0,1995.0,handpump,user-group,on failure,good,seasonal,shallow well,hand pump,functional
50.0,825.0,1.0,2006.0,motorpump,user-group,per bucket,good,enough,borehole,communal standpipe,non functional
20.0,513.0,1.0,1999.0,handpump,user-group,per bucket,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,motorpump,user-group,per bucket,good,insufficient,borehole,communal standpipe,functional needs repair
50.0,674.0,1.0,2011.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,functional needs repair
100.0,825.0,230.0,2000.0,submersible,user-group,per bucket,salty,insufficient,borehole,communal standpipe,functional
1500.0,701.0,400.0,2009.0,submersible,user-group,monthly,good,insufficient,borehole,communal standpipe,functional
100.0,1362.0,450.0,2008.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,per bucket,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,1455.0,60.0,1984.0,other,user-group,never pay,good,enough,borehole,other,non functional
100.0,28.0,1.0,2010.0,other,unknown,unknown,unknown,unknown,borehole,other,non functional
2000.0,729.0,360.0,1999.0,handpump,user-group,monthly,good,insufficient,shallow well,hand pump,non functional
50.0,362.0,85.0,2000.0,handpump,user-group,per bucket,salty,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,dry,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,commercial,unknown,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,486.0,130.0,1980.0,handpump,user-group,never pay,salty,enough,shallow well,hand pump,functional needs repair
1000.0,375.0,1.0,2007.0,handpump,user-group,monthly,good,enough,borehole,hand pump,functional
100.0,530.0,200.0,1982.0,other,user-group,never pay,good,enough,shallow well,other,non functional
50.0,30.0,100.0,2000.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,non functional
100.0,466.0,250.0,2009.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,57.0,1.0,2009.0,other,user-group,never pay,good,enough,shallow well,hand pump,non functional
100.0,74.0,1.0,1994.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,non functional
100.0,30.0,1000.0,2000.0,other,other,never pay,unknown,dry,shallow well,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,parastatal,unknown,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,342.0,250.0,1986.0,other,user-group,unknown,good,dry,shallow well,other,non functional
100.0,277.0,2150.0,1980.0,other,user-group,never pay,good,insufficient,shallow well,other,non functional
100.0,288.0,200.0,1982.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,241.0,1.0,1982.0,submersible,user-group,never pay,good,dry,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,functional
100.0,306.0,86.0,2001.0,handpump,user-group,never pay,salty,insufficient,borehole,hand pump,functional
100.0,284.0,500.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,non functional
100.0,206.0,1680.0,2010.0,handpump,user-group,never pay,salty,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,1437.0,350.0,2004.0,handpump,user-group,unknown,good,enough,shallow well,hand pump,functional
100.0,636.0,1.0,2003.0,other,user-group,never pay,good,insufficient,borehole,hand pump,non functional
100.0,549.0,250.0,2000.0,handpump,user-group,unknown,salty,dry,shallow well,hand pump,non functional
100.0,288.0,2000.0,2004.0,handpump,user-group,never pay,salty,insufficient,shallow well,hand pump,non functional
100.0,1156.0,125.0,1988.0,other,commercial,never pay,good,insufficient,borehole,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
500.0,279.0,700.0,2003.0,handpump,user-group,monthly,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
20.0,825.0,3226.0,2007.0,motorpump,commercial,per bucket,good,enough,borehole,communal standpipe,functional
100.0,1038.0,250.0,2000.0,handpump,user-group,unknown,good,insufficient,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,insufficient,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,motorpump,user-group,per bucket,good,enough,borehole,communal standpipe,functional
100.0,825.0,560.0,2007.0,other,user-group,never pay,good,dry,shallow well,other,non functional
200.0,825.0,280.0,2006.0,submersible,user-group,per bucket,salty,insufficient,borehole,communal standpipe,non functional
30.0,825.0,450.0,2000.0,submersible,user-group,per bucket,good,insufficient,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,insufficient,shallow well,hand pump,functional
500.0,725.0,250.0,1998.0,handpump,user-group,monthly,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,other,user-group,on failure,good,insufficient,shallow well,other,non functional
100.0,332.0,1.0,1980.0,other,user-group,unknown,good,dry,shallow well,other,non functional
30.0,19.0,50.0,2009.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,non functional
100.0,963.0,200.0,2010.0,handpump,user-group,annually,salty,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,gravity,user-group,never pay,good,enough,borehole,communal standpipe,non functional
100.0,825.0,140.0,1980.0,motorpump,user-group,never pay,salty,dry,borehole,other,non functional
100.0,814.0,253.0,1991.0,other,user-group,never pay,good,enough,borehole,other,non functional
50.0,386.0,250.0,2009.0,handpump,user-group,per bucket,salty,enough,borehole,hand pump,non functional
100.0,104.0,88.0,1972.0,submersible,user-group,never pay,salty,insufficient,borehole,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,enough,shallow well,hand pump,functional
100.0,363.0,140.0,2009.0,motorpump,user-group,never pay,good,dry,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,gravity,commercial,unknown,good,enough,borehole,communal standpipe,functional
100.0,825.0,133.0,1976.0,other,user-group,never pay,unknown,dry,shallow well,other,non functional
25.0,93.0,650.0,2012.0,handpump,user-group,per bucket,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,functional
200.0,366.0,50.0,1994.0,handpump,user-group,monthly,salty,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,per bucket,good,enough,shallow well,hand pump,functional
100.0,101.0,230.0,1997.0,handpump,user-group,on failure,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,enough,borehole,hand pump,non functional
100.0,302.0,1.0,1984.0,other,unknown,never pay,good,insufficient,shallow well,other,non functional
25.0,1539.0,100.0,1995.0,handpump,user-group,per bucket,good,insufficient,shallow well,hand pump,functional
100.0,1525.0,1.0,1980.0,other,user-group,unknown,unknown,dry,shallow well,other,non functional
50.0,366.0,2100.0,2010.0,handpump,user-group,per bucket,salty,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,dry,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,monthly,good,enough,borehole,hand pump,functional
100.0,15.0,285.0,2005.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,functional
500.0,458.0,300.0,2004.0,handpump,user-group,monthly,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,submersible,user-group,per bucket,salty,dry,borehole,communal standpipe,non functional
100.0,58.0,100.0,2010.0,submersible,commercial,per bucket,salty,enough,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,enough,shallow well,hand pump,functional
100.0,140.0,250.0,1995.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,non functional
100.0,360.0,1200.0,1997.0,handpump,user-group,never pay,salty,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,non functional
50.0,1436.0,450.0,2010.0,submersible,user-group,per bucket,good,insufficient,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,unknown,dry,borehole,hand pump,non functional
100.0,1342.0,500.0,2010.0,handpump,user-group,unknown,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,motorpump,commercial,per bucket,good,insufficient,borehole,communal standpipe,functional
100.0,1151.0,300.0,2002.0,other,user-group,never pay,good,insufficient,shallow well,other,non functional
100.0,1818.0,50.0,1998.0,handpump,commercial,unknown,good,enough,shallow well,hand pump,non functional
50.0,1521.0,185.0,2007.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,non functional
1500.0,1357.0,230.0,1990.0,handpump,user-group,monthly,good,insufficient,borehole,hand pump,functional
100.0,825.0,700.0,2008.0,handpump,user-group,unknown,good,enough,borehole,hand pump,functional
100.0,873.0,368.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,other,user-group,unknown,good,dry,shallow well,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,dry,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,submersible,user-group,per bucket,milky,enough,borehole,communal standpipe,functional
100.0,1683.0,250.0,2005.0,handpump,user-group,never pay,good,enough,borehole,hand pump,non functional
100.0,663.0,250.0,1992.0,handpump,user-group,unknown,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,dry,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,insufficient,shallow well,hand pump,functional
100.0,825.0,115.0,2009.0,submersible,user-group,never pay,good,enough,borehole,other,functional
20.0,294.0,520.0,2004.0,handpump,user-group,per bucket,salty,insufficient,borehole,hand pump,non functional
50.0,178.0,800.0,2010.0,handpump,user-group,per bucket,salty,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,other,user-group,unknown,milky,enough,shallow well,other,functional
50.0,421.0,406.0,2000.0,handpump,user-group,per bucket,salty,insufficient,borehole,hand pump,non functional
